run_id,experiment_id,status,artifact_uri,start_time,end_time,metrics.true_negatives,metrics.precision,metrics.true_positives,metrics.predicted_anomalies,metrics.false_positive_rate,metrics.false_positives,metrics.false_negatives,metrics.recall,metrics.f1,metrics.roc_auc,metrics.predicted_positives,metrics.average_precision,metrics.threshold,params.stage,params.threshold,params.k,params.method,params.quantile,params.window_size,params.batch_size,params.epochs,params.learning_rate,params.contamination,tags.mlflow.source.type,tags.mlflow.source.name,tags.mlflow.runName,tags.mlflow.user
629a23006b704a7c9fb309738a4ec23a,522154039128991518,FINISHED,file:///home/brad/BradleyFolder/school/7_sem/ece447/ece447-project/mlruns/522154039128991518/629a23006b704a7c9fb309738a4ec23a/artifacts,2026-04-24 21:47:51.658000+00:00,2026-04-24 21:47:52.029000+00:00,9963.0,0.0,0.0,22.0,0.0022033049574361543,22.0,15.0,0.0,0.0,,,,,threshold_tuning,23.207578524796848,20,kNN,0.999,,,,,,LOCAL,/home/brad/miniconda3/envs/ece447/lib/python3.8/site-packages/ipykernel_launcher.py,kNN_k20_q0.999,brad
c8d28e04c9bb47228f2cc7a7a934510c,522154039128991518,FINISHED,file:///home/brad/BradleyFolder/school/7_sem/ece447/ece447-project/mlruns/522154039128991518/c8d28e04c9bb47228f2cc7a7a934510c/artifacts,2026-04-24 21:47:51.287000+00:00,2026-04-24 21:47:51.656000+00:00,9909.0,0.0,0.0,76.0,0.007611417125688533,76.0,15.0,0.0,0.0,,,,,threshold_tuning,12.134438168393508,20,kNN,0.995,,,,,,LOCAL,/home/brad/miniconda3/envs/ece447/lib/python3.8/site-packages/ipykernel_launcher.py,kNN_k20_q0.995,brad
6977bc9dd84c4d2aa46ab06c7592b27f,522154039128991518,FINISHED,file:///home/brad/BradleyFolder/school/7_sem/ece447/ece447-project/mlruns/522154039128991518/6977bc9dd84c4d2aa46ab06c7592b27f/artifacts,2026-04-24 21:47:50.896000+00:00,2026-04-24 21:47:51.286000+00:00,9843.0,0.06578947368421052,10.0,152.0,0.014221331997996996,142.0,5.0,0.6666666666666666,0.11976047904191617,,,,,threshold_tuning,9.47752959911209,20,kNN,0.99,,,,,,LOCAL,/home/brad/miniconda3/envs/ece447/lib/python3.8/site-packages/ipykernel_launcher.py,kNN_k20_q0.99,brad
5b3b7489001342149da2ea49ab8b6a3e,522154039128991518,FINISHED,file:///home/brad/BradleyFolder/school/7_sem/ece447/ece447-project/mlruns/522154039128991518/5b3b7489001342149da2ea49ab8b6a3e/artifacts,2026-04-24 21:47:50.463000+00:00,2026-04-24 21:47:50.894000+00:00,9590.0,0.034229828850855744,14.0,409.0,0.039559339008512766,395.0,1.0,0.9333333333333333,0.06603773584905659,,,,,threshold_tuning,6.532754164081308,20,kNN,0.975,,,,,,LOCAL,/home/brad/miniconda3/envs/ece447/lib/python3.8/site-packages/ipykernel_launcher.py,kNN_k20_q0.975,brad
d1a3a2f93c244ed19921dad2ad9879b1,522154039128991518,FINISHED,file:///home/brad/BradleyFolder/school/7_sem/ece447/ece447-project/mlruns/522154039128991518/d1a3a2f93c244ed19921dad2ad9879b1/artifacts,2026-04-24 21:47:50.007000+00:00,2026-04-24 21:47:50.462000+00:00,9063.0,0.016008537886873,15.0,937.0,0.09233850776164246,922.0,0.0,1.0,0.031512605042016806,,,,,threshold_tuning,5.175619603547044,20,kNN,0.95,,,,,,LOCAL,/home/brad/miniconda3/envs/ece447/lib/python3.8/site-packages/ipykernel_launcher.py,kNN_k20_q0.95,brad
36694860b365408faf5d8ac1c5d49214,522154039128991518,FINISHED,file:///home/brad/BradleyFolder/school/7_sem/ece447/ece447-project/mlruns/522154039128991518/36694860b365408faf5d8ac1c5d49214/artifacts,2026-04-24 21:47:48.723000+00:00,2026-04-24 21:47:49.127000+00:00,,0.06796116504854369,7.0,,0.009614421632448673,96.0,8.0,0.4666666666666667,0.11864406779661017,,,,,k_tuning,12.077961764124696,50,kNN,0.99,,,,,,LOCAL,/home/brad/miniconda3/envs/ece447/lib/python3.8/site-packages/ipykernel_launcher.py,kNN_k50_q0.99,brad
2f420bd36f9641d2bddf64d425754fc7,522154039128991518,FINISHED,file:///home/brad/BradleyFolder/school/7_sem/ece447/ece447-project/mlruns/522154039128991518/2f420bd36f9641d2bddf64d425754fc7/artifacts,2026-04-24 21:47:48.301000+00:00,2026-04-24 21:47:48.721000+00:00,,0.06578947368421052,10.0,,0.014221331997996996,142.0,5.0,0.6666666666666666,0.11976047904191617,,,,,k_tuning,9.47752959911209,20,kNN,0.99,,,,,,LOCAL,/home/brad/miniconda3/envs/ece447/lib/python3.8/site-packages/ipykernel_launcher.py,kNN_k20_q0.99,brad
ea80019334c54cc1a46774fc5698b3f6,522154039128991518,FINISHED,file:///home/brad/BradleyFolder/school/7_sem/ece447/ece447-project/mlruns/522154039128991518/ea80019334c54cc1a46774fc5698b3f6/artifacts,2026-04-24 21:47:47.906000+00:00,2026-04-24 21:47:48.299000+00:00,,0.04639175257731959,9.0,,0.018527791687531298,185.0,6.0,0.6,0.08612440191387562,,,,,k_tuning,7.947127657007069,10,kNN,0.99,,,,,,LOCAL,/home/brad/miniconda3/envs/ece447/lib/python3.8/site-packages/ipykernel_launcher.py,kNN_k10_q0.99,brad
9c5ba15a6088478faaa665de90655e29,522154039128991518,FINISHED,file:///home/brad/BradleyFolder/school/7_sem/ece447/ece447-project/mlruns/522154039128991518/9c5ba15a6088478faaa665de90655e29/artifacts,2026-04-24 21:47:47.577000+00:00,2026-04-24 21:47:47.905000+00:00,,0.04152249134948097,12.0,,0.027741612418627944,277.0,3.0,0.8,0.07894736842105264,,,,,k_tuning,6.5632854602900474,5,kNN,0.99,,,,,,LOCAL,/home/brad/miniconda3/envs/ece447/lib/python3.8/site-packages/ipykernel_launcher.py,kNN_k5_q0.99,brad
6c022fc7717941fa905db4cf1328a601,522154039128991518,FINISHED,file:///home/brad/BradleyFolder/school/7_sem/ece447/ece447-project/mlruns/522154039128991518/6c022fc7717941fa905db4cf1328a601/artifacts,2026-04-24 21:47:47.072000+00:00,2026-04-24 21:47:47.575000+00:00,,0.033707865168539325,12.0,,0.03445167751627441,344.0,3.0,0.8,0.0646900269541779,,,,,k_tuning,5.893124508102294,3,kNN,0.99,,,,,,LOCAL,/home/brad/miniconda3/envs/ece447/lib/python3.8/site-packages/ipykernel_launcher.py,kNN_k3_q0.99,brad
